"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above"
756984,278669,409996,819771,307543,339063,201382,104653
72476,45211,41339,106828,52305,72896,50008,38392
611041,829670,645046,849008,764265,940596,252323,273630
515734,271641,252780,437514,189881,217239,71912,54093
3340091,2961248,4465493,4077480,3585397,3140242,1686302,2747519
529470,400464,416666,563032,566520,904783,371985,465815
275711,208535,373377,384054,367302,420897,203002,260850
65631,70705,90097,152661,85948,150306,59754,24015
65793,34480,25912,66484,34154,96825,57799,96172
2717773,1962306,2372164,2766294,1587040,2526431,612655,777129
1570437,790831,793113,1191925,1108258,750419,516260,455669
91517,84380,161389,193453,165950,168868,60207,58319
143306,141938,141816,352376,161329,172010,41282,40109
1413355,972283,1167771,1201787,1111628,1235093,754628,604503
683295,500209,753601,626822,842891,774491,194034,189804
283394,242679,238845,460358,351479,331501,197013,88269
209536,304874,277259,440300,226567,259768,83076,97826
641234,395548,396761,512551,352713,465436,117497,72866
500252,459783,416245,659744,378733,276310,138432,90103
155251,109589,118767,223806,141717,100183,46054,40570
619015,273882,354387,586392,452227,863818,378704,462525
557301,334892,441436,708553,656812,947078,537465,480512
1195571,848746,993343,1116143,788167,1074342,397300,351213
316614,341419,362230,860334,725293,623720,243924,256185
670194,337752,267538,251629,211278,157551,50340,86262
777525,484392,625486,826807,497780,454280,228838,252956
139090,119463,78098,150211,82967,102780,46536,18603
185429,151389,197396,289413,160105,175889,61344,59713
308641,325753,269476,370673,362419,286551,135307,56988
101369,102652,141935,170703,127537,211272,57337,102242
510767,526431,675723,868111,1073051,1156463,495713,579655
310615,276530,161230,175496,164472,172478,72496,54189
1885300,1692263,1561860,2272477,1505458,1957912,1077572,1297189
1282329,963526,1085491,1425872,932309,944138,357102,241835
69382,43892,102110,103393,71040,80072,17781,19003
1366995,1084927,1143488,1364111,1140873,1093241,421219,436435
441333,595175,400201,417359,357020,263518,157102,74074
441441,301556,408054,553697,546927,458858,171158,187113
1521358,1350617,765113,1495312,1219564,1328711,683587,563006
118287,52247,74475,143849,114144,148549,51571,34052
464148,362563,648865,789464,421963,519183,247536,190208
86644,54114,83571,129001,113724,83762,26432,16586
672425,614406,608251,1207082,472647,552399,185176,187229
4199296,2597866,2302720,3723167,2023885,2113986,1195490,1315397
285742,218405,245740,427449,371063,257709,140731,106146
48052,39996,41177,104200,72844,81977,30327,14412
600286,641678,530183,1192943,798560,910366,532888,719430
616743,582511,530819,993102,764634,824095,473329,610740
269371,196470,185782,275588,133317,141746,54544,27573
504062,468196,569939,799118,605061,627418,281333,175579
34588,36519,55702,87612,73903,82917,19005,11183
