"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above"
667333,351685,321077,672500,392803,503244,176505,69503
68348,35010,52794,96442,68683,74440,43995,30576
787931,814749,685319,772119,595469,777529,267323,283984
471452,190979,300173,431603,193887,192200,93980,35548
3342182,3384187,2849374,3872467,3434548,3429332,1632774,2756136
454578,421285,469841,711310,540973,674610,368404,390922
355521,218964,213350,414186,403226,409694,185487,239874
72162,93729,76563,96338,76849,157736,49694,24068
83171,27624,20369,82429,42678,87458,55342,90226
2563165,2250405,1933762,2536227,1724971,1873327,650420,888491
1246524,1034429,920573,1146183,864287,788487,527259,427865
81131,52262,126759,198734,131781,223239,72225,73492
151575,166705,193739,248783,159583,200661,39776,48223
1552711,812896,921514,1192197,1123105,1231173,747271,595033
767162,326080,893027,644462,798194,752274,166226,138677
265170,200750,269665,405748,404240,325660,144806,67027
342980,253923,259055,397184,227001,251138,70473,84500
605529,415635,269451,534399,299761,460647,158864,104203
749332,240439,344401,526651,371172,252374,184915,117937
157961,85464,140243,205750,117611,128618,56099,42781
586758,314046,364041,498410,438372,790719,399620,601706
580105,294128,272610,765220,526394,1082462,546705,603107
1531597,784096,691888,1014983,690567,914124,485772,465309
346031,438984,495532,811819,667057,568130,258465,224652
640478,267977,244547,311692,126001,176695,34831,68581
688362,591342,588697,764084,525832,575449,147480,182124
121865,76117,104560,178285,77480,70384,47382,19372
147282,103061,203508,277724,200231,163455,80449,56842
292662,349315,317845,442729,303048,257139,78637,52138
88017,118772,109371,180484,122655,184362,68174,100854
780758,578173,499726,782869,1060217,1200199,514179,557534
258378,203884,200093,254846,155355,152614,65402,53648
1731551,1548042,1723660,2865905,1169011,1968922,1035061,1071840
1061841,907825,1039992,1352908,847996,858887,382831,418632
82551,56473,56033,102693,66473,87426,23082,23336
1343443,910262,1339380,1440534,1067271,1176081,304648,351424
479504,395581,444530,461711,289664,297803,160525,46935
427317,292143,407649,510407,500136,504995,152847,154829
1372650,1178962,804271,1603764,788378,1339691,722431,574598
106816,49573,74210,134007,120052,121379,63087,33427
723721,371565,490415,628249,437553,560638,152511,96194
69778,62000,80249,148544,85853,84001,21505,21516
802743,613100,514557,1265871,557634,574297,165844,201092
3916626,2392911,2270396,3192536,2041817,2010951,893945,1164700
296027,200504,215420,390870,348816,320755,121424,127345
37349,44485,46818,76525,87419,78409,30984,25252
586602,497113,571709,1173145,800780,1046365,464536,591275
498162,433598,645924,994059,721705,841907,391518,642065
207874,232158,196011,247421,99366,131547,97645,34173
577004,441852,512344,701560,519607,511470,382407,191940
35450,49852,53560,80442,65218,63640,28781,18399
